ID,Name,Probability,P10,P90,Type,mu,sigma,E[D]
T01,Threat 1,0.25,10500.0,37500.0,Threat,9.895613374052058,0.49665019732231214,22447.714484804957
T02,Threat 2,0.3,11900.0,42500.0,Threat,10.020776517006064,0.49665019732231214,25440.743082778965
T03,Threat 3,0.35,13300.0,47500.0,Threat,10.13200215211629,0.49665019732231214,28433.77168075298
T04,Threat 4,0.4,14699.999999999998,52500.0,Threat,10.232085610673272,0.49665019732231214,31426.80027872697
T05,Threat 5,0.45,16099.999999999998,57500.0,Threat,10.323057388878999,0.49665019732231214,34419.82887670098
T06,Threat 6,0.25,17500.0,62500.0,Threat,10.40643899781805,0.4966501973223114,37412.85747467499
T07,Threat 7,0.3,18900.0,67500.0,Threat,10.483400038954178,0.49665019732231214,40405.88607264898
T08,Threat 8,0.35,20300.0,72500.0,Threat,10.554859002936322,0.49665019732231214,43398.91467062292
T09,Threat 9,0.4,21700.0,77500.0,Threat,10.621550377434994,0.49665019732231214,46391.94326859694
T10,Threat 10,0.45,23100.0,82500.0,Threat,10.684070734416329,0.49665019732231214,49384.97186657095
T11,Threat 11,0.25,24500.0,87500.0,Threat,10.742911234439262,0.49665019732231214,52378.00046454494
T12,Threat 12,0.3,25900.0,92500.0,Threat,10.798481085594073,0.49665019732231214,55371.029062518945
T13,Threat 13,0.35,27300.0,97500.0,Threat,10.851124819079494,0.49665019732231214,58364.05766049291
T14,Threat 14,0.4,28699.999999999996,102500.0,Threat,10.901135239654156,0.49665019732231214,61357.08625846692
T15,Threat 15,0.45,30099.999999999996,107500.0,Threat,10.948763288643411,0.49665019732231214,64350.11485644094
O01,Opportunity 1,0.2,8400.0,30000.0,Opportunity,9.672469822737849,0.49665019732231214,17958.171587843983
O02,Opportunity 2,0.25,9800.0,35000.0,Opportunity,9.826620502565106,0.4966501973223114,20951.200185817957
O03,Opportunity 3,0.30000000000000004,11200.0,40000.0,Opportunity,9.960151895189629,0.49665019732231214,23944.228783791954
O04,Opportunity 4,0.35000000000000003,12600.0,45000.0,Opportunity,10.077934930846013,0.49665019732231214,26937.257381765958
O05,Opportunity 5,0.4,14000.0,50000.0,Opportunity,10.18329544650384,0.49665019732231214,29930.28597973997
O06,Opportunity 6,0.2,15399.999999999998,55000.0,Opportunity,10.278605626308163,0.49665019732231214,32923.31457771393
O07,Opportunity 7,0.25,16800.0,60000.0,Opportunity,10.365617003297794,0.49665019732231214,35916.34317568797
O08,Opportunity 8,0.30000000000000004,18200.0,65000.0,Opportunity,10.44565971097133,0.49665019732231214,38909.371773661966
O09,Opportunity 9,0.35000000000000003,19600.0,70000.0,Opportunity,10.519767683125052,0.49665019732231214,41902.400371635915
O10,Opportunity 10,0.4,21000.0,75000.0,Opportunity,10.588760554612003,0.49665019732231214,44895.42896960992
O11,Opportunity 11,0.2,22400.0,80000.0,Opportunity,10.653299075749574,0.49665019732231214,47888.45756758391
O12,Opportunity 12,0.25,23800.0,85000.0,Opportunity,10.71392369756601,0.49665019732231214,50881.48616555794
O13,Opportunity 13,0.30000000000000004,25200.0,90000.0,Opportunity,10.771082111405958,0.49665019732231214,53874.51476353192
O14,Opportunity 14,0.35000000000000003,26600.0,95000.0,Opportunity,10.825149332676235,0.49665019732231214,56867.54336150597
O15,Opportunity 15,0.4,28000.0,100000.0,Opportunity,10.876442627063785,0.49665019732231214,59860.57195947994
