ID,Name,Probability,P10,P90,Type,mu,sigma,E[D]
T01,Scope creep,0.4,15000,45000,Threat,10.165111624418401,0.4286258618868955,28480.407939950448
T02,Key resource unavailable,0.3,20000,60000,Threat,10.452793696870183,0.42862586188689616,37973.87725326729
T03,Technology integration issues,0.35,25000,80000,Threat,10.708206508753179,0.45380569969940876,49571.74609823238
T04,Vendor delays,0.45,10000,35000,Threat,9.836721856223868,0.4887680691814378,21081.875492909254
T05,Requirements changes,0.5,12000,40000,Threat,9.994648330933105,0.4697324854869585,24464.35978796945
T06,Testing delays,0.35,8000,25000,Threat,9.556913962256155,0.4445526476744452,15610.94407488955
T07,Infrastructure problems,0.2,30000,90000,Threat,10.858258804978348,0.4286258618868955,56960.815879901
T08,Security vulnerabilities,0.25,20000,70000,Threat,10.529869036783811,0.4887680691814385,42163.75098581844
T09,Data migration issues,0.3,15000,50000,Threat,10.217791882247315,0.4697324854869585,30580.44973496184
T10,Training delays,0.4,5000,18000,Threat,9.15766011414727,0.49975899522924233,10748.69510711698
T11,Regulatory compliance,0.15,40000,120000,Threat,11.145940877430128,0.42862586188689616,75947.75450653459
T12,Communication failures,0.35,8000,28000,Threat,9.613578304909657,0.4887680691814385,16865.50039432739
T13,Budget constraints,0.25,25000,75000,Threat,10.675937248184393,0.4286258618868955,47467.34656658416
T14,Quality issues,0.3,18000,55000,Threat,10.356607750546456,0.43578481637672056,34598.37358194102
T15,Stakeholder conflicts,0.2,12000,40000,Threat,9.994648330933105,0.4697324854869585,24464.35978796945
T16,Documentation gaps,0.45,5000,15000,Threat,9.066499335750294,0.4286258618868955,9493.469313316838
T17,Performance issues,0.25,22000,65000,Threat,10.540470140609113,0.42266922598504647,41348.63867516002
T18,Dependencies on other projects,0.35,15000,50000,Threat,10.217791882247315,0.4697324854869585,30580.44973496184
T19,Change management resistance,0.3,10000,35000,Threat,9.836721856223868,0.4887680691814378,21081.875492909254
T20,Hardware failures,0.15,25000,80000,Threat,10.708206508753179,0.45380569969940876,49571.74609823238
T21,Software bugs,0.4,8000,30000,Threat,9.648074740653133,0.5156857810167921,17695.057690129655
T22,Network issues,0.2,12000,40000,Threat,9.994648330933105,0.4697324854869585,24464.35978796945
T23,Licensing problems,0.25,10000,35000,Threat,9.836721856223868,0.4887680691814378,21081.875492909254
T24,Environmental factors,0.1,30000,100000,Threat,10.91093906280726,0.4697324854869585,61160.89946992369
T25,Legal disputes,0.1,50000,150000,Threat,11.369084428744337,0.4286258618868955,94934.69313316816
O01,Early vendor delivery,0.2,10000,30000,Opportunity,9.759646516310237,0.4286258618868955,18986.938626633644
O02,Resource efficiency gains,0.25,8000,25000,Opportunity,9.556913962256155,0.4445526476744452,15610.94407488955
O03,Reuse of existing components,0.3,15000,45000,Opportunity,10.165111624418401,0.4286258618868955,28480.407939950448
O04,Favorable exchange rates,0.15,5000,20000,Opportunity,9.210340371976184,0.5408656188293047,11575.061368932353
O05,Process improvements,0.2,12000,35000,Opportunity,9.927882634620843,0.4176349358390916,22361.412686111264
