ID,Name,Probability,P10,P90,Type,mu,sigma,E[D]
T01,Major regulatory change,0.8,200000,600000,Threat,12.755378789864228,0.4286258618868955,379738.7725326727
T02,Minor scope changes,0.35,5000,15000,Threat,9.066499335750294,0.4286258618868955,9493.469313316838
T03,Resource turnover,0.3,8000,25000,Threat,9.556913962256155,0.4445526476744452,15610.94407488955
T04,Tool issues,0.4,3000,10000,Threat,8.608353969813216,0.46973248548695923,6116.0899469923725
T05,Communication gaps,0.45,4000,12000,Threat,8.843355784436081,0.4286258618868955,7594.775450653451
T06,Testing overruns,0.35,6000,18000,Threat,9.248820892544247,0.42862586188689616,11392.16317598019
T07,Documentation delays,0.5,2000,8000,Threat,8.294049640102028,0.5408656188293054,4630.024547572937
T08,Training needs,0.3,5000,15000,Threat,9.066499335750294,0.4286258618868955,9493.469313316838
T09,Meeting overhead,0.6,2000,6000,Threat,8.150208603876138,0.4286258618868955,3797.387725326732
T10,Rework cycles,0.4,7000,22000,Threat,9.42623158018895,0.4467757424245251,13712.1264438834
T11,Approval delays,0.35,4000,14000,Threat,8.920431124349712,0.4887680691814385,8432.750197163694
T12,Environment issues,0.25,8000,25000,Threat,9.556913962256155,0.4445526476744452,15610.94407488955
T13,Dependency waits,0.3,6000,20000,Threat,9.30150115037316,0.4697324854869585,12232.179893984725
T14,Code reviews,0.45,3000,10000,Threat,8.608353969813216,0.46973248548695923,6116.0899469923725
T15,Bug fixes,0.5,5000,16000,Threat,9.09876859631908,0.45380569969940876,9914.349219646483
T16,Performance tuning,0.25,10000,30000,Threat,9.759646516310237,0.4286258618868955,18986.938626633644
T17,Security patches,0.2,8000,25000,Threat,9.556913962256155,0.4445526476744452,15610.94407488955
T18,Data cleanup,0.35,4000,12000,Threat,8.843355784436081,0.4286258618868955,7594.775450653451
T19,Report generation,0.4,2000,7000,Threat,8.227283943789766,0.4887680691814385,4216.375098581847
O01,Process reuse,0.25,8000,25000,Opportunity,9.556913962256155,0.4445526476744452,15610.94407488955
O02,Early completion,0.2,10000,30000,Opportunity,9.759646516310237,0.4286258618868955,18986.938626633644
O03,Volume discounts,0.3,5000,15000,Opportunity,9.066499335750294,0.4286258618868955,9493.469313316838
O04,Skill transfer,0.25,6000,18000,Opportunity,9.248820892544247,0.42862586188689616,11392.16317598019
O05,Automation gains,0.2,12000,35000,Opportunity,9.927882634620843,0.4176349358390916,22361.412686111264
