ID,Name,Probability,P10,P90,Type,mu,sigma,E[D]
T01,Scope creep,0.4,10000,90000,Threat,10.308952660644293,0.857251723773791,43321.005836487624
T02,Key resource unavailable,0.3,12000,120000,Threat,10.54395447526716,0.8983583473738547,56810.607294427085
T03,Technology integration issues,0.35,15000,160000,Threat,10.799367287150154,0.9235381851863673,75043.90917695216
T04,Vendor delays,0.45,6000,70000,Threat,9.927882634620843,0.958500554668397,32443.13979379695
T05,Requirements changes,0.5,8000,80000,Threat,10.138489367158996,0.898358347373854,37873.73819628475
T06,Testing delays,0.35,5000,50000,Threat,9.668485737913262,0.898358347373854,23671.086372677986
T07,Infrastructure problems,0.2,18000,180000,Threat,10.949419583375324,0.898358347373854,85215.91094164057
T08,Security vulnerabilities,0.25,12000,140000,Threat,10.621029815180789,0.958500554668397,64886.279587593905
T09,Data migration issues,0.3,9000,100000,Threat,10.308952660644293,0.939464970973917,46641.681657130626
T10,Training delays,0.4,3000,36000,Threat,9.248820892544247,0.9694914807162015,16626.910199386977
T11,Regulatory compliance,0.15,25000,240000,Threat,11.257512653087232,0.882431561586305,114331.2691835787
T12,Communication failures,0.35,5000,56000,Threat,9.725150080566763,0.9425737688808472,26091.70522838832
T13,Budget constraints,0.25,15000,150000,Threat,10.767098026581369,0.898358347373854,71013.25911803379
T14,Quality issues,0.3,11000,110000,Threat,10.45694309827753,0.898358347373854,52076.39001989152
T15,Stakeholder conflicts,0.2,7000,80000,Threat,10.071723670846733,0.9504558970217208,37175.56155529525
T16,Documentation gaps,0.45,3000,30000,Threat,9.15766011414727,0.8983583473738547,14202.65182360677
T17,Performance issues,0.25,13000,130000,Threat,10.623997182940697,0.8983583473738547,61544.82456896267
T18,Dependencies on other projects,0.35,9000,100000,Threat,10.308952660644293,0.939464970973917,46641.681657130626
T19,Change management resistance,0.3,6000,70000,Threat,9.927882634620843,0.958500554668397,32443.13979379695
T20,Hardware failures,0.15,15000,160000,Threat,10.799367287150154,0.9235381851863673,75043.90917695216
T21,Software bugs,0.4,5000,60000,Threat,9.759646516310237,0.9694914807162008,27711.51699897829
T22,Network issues,0.2,7000,80000,Threat,10.071723670846733,0.9504558970217208,37175.56155529525
T23,Licensing problems,0.25,6000,70000,Threat,9.927882634620843,0.958500554668397,32443.13979379695
T24,Environmental factors,0.1,18000,200000,Threat,11.002099841204238,0.939464970973917,93283.36331426127
T25,Legal disputes,0.1,30000,300000,Threat,11.460245207141316,0.898358347373854,142026.51823606784
O01,Early vendor delivery,0.2,6000,60000,Opportunity,9.850807294707215,0.8983583473738547,28405.30364721354
O02,Resource efficiency gains,0.25,5000,50000,Opportunity,9.668485737913262,0.898358347373854,23671.086372677986
O03,Reuse of existing components,0.3,9000,90000,Opportunity,10.25627240281538,0.898358347373854,42607.95547082036
O04,Favorable exchange rates,0.15,3000,40000,Opportunity,9.30150115037316,1.010598104316264,18254.290268656667
O05,Process improvements,0.2,7000,70000,Opportunity,10.004957974534474,0.898358347373854,33139.52092174915
