ID,Name,Probability,P10,P90,Type,mu,sigma,E[D]
T01,Threat 1,0.37858767423914463,11942.339398754286,55463.44355999611,Threat,10.155662352708632,0.5991308317613646,30796.0350795657
T02,Threat 2,0.3877875879142253,21497.08424157418,81005.90858030424,Threat,10.638974982339027,0.5175776082089533,47711.0483952822
T03,Threat 3,0.2923727605937444,15918.582527358627,78309.65828227815,Threat,10.471834321144932,0.6215839645892902,42831.00921744089
T04,Threat 4,0.27542889787184976,5529.054584315161,26714.745969126663,Threat,9.405371547039838,0.614567099412268,14679.656561179856
T05,Threat 5,0.1729966921814,9793.556374057755,39506.84149538757,Threat,9.886854536928661,0.5441642928205307,22809.033114644557
T06,Threat 6,0.3537603834205284,35328.909142786564,139271.14829464804,Threat,11.158317441378182,0.5351798524317875,80945.07996779305
T07,Threat 7,0.38897735302808867,13839.95241953577,47983.702616131224,Threat,10.1569657473387,0.48507681842953493,28987.370300468785
T08,Threat 8,0.21748561855553175,20959.078996913104,95753.8205100619,Threat,10.70993150180891,0.5927223888205702,53401.35594815701
T09,Threat 9,0.2723451053318575,19806.29499603859,71428.55513025311,Threat,10.535104047709638,0.5004472466859748,42630.60796390236
T10,Threat 10,0.2705405227851233,39925.02886637807,135773.5817494668,Threat,11.206751316676243,0.47754037920286035,82518.16447653399
T11,Threat 11,0.3495811807168445,7092.859405436824,28870.456354334172,Threat,9.568708959580201,0.5476682632507828,16625.27194303838
T12,Threat 12,0.44652366315334635,12120.056324691543,64612.06700206353,Threat,10.239386687444206,0.6529349290945873,34632.53019013481
T13,Threat 13,0.3077940477039237,20727.185956565656,119005.29309780583,Threat,10.813062349870684,0.6818772841777383,62663.89135089569
T14,Threat 14,0.34122405136437095,20753.181519372243,77016.31457025869,Threat,10.596113698034578,0.5116133252239202,45569.22126320189
T15,Threat 15,0.26680888440988065,30760.37306500181,107718.89394226843,Threat,10.960631415387063,0.4889767063908175,64872.593481551856
T16,Threat 16,0.367725513184909,24700.718522299463,105060.42813333236,Threat,10.838439290897956,0.5648244660570885,59751.68257368446
T17,Threat 17,0.4369369750481029,7249.505845768944,21748.67660208249,Threat,9.437998387552936,0.4286287153790895,13764.659427830169
T18,Threat 18,0.17768918423150837,19339.58912391437,115987.42955893831,Threat,10.76557331112069,0.6988901666582321,60463.61412344219
T19,Threat 19,0.35089958882050754,22713.955262736636,119753.74811935922,Threat,10.861963799089263,0.6486114469191917,64364.15795250875
T20,Threat 20,0.3227140769577155,7849.998631873999,41212.16463543552,Threat,9.797378693196011,0.6469580147957641,22173.563604850577
T21,Threat 21,0.22750657055275056,27693.598859394606,100389.63427418892,Threat,10.87288540699534,0.5024603355384615,59821.39198010474
T22,Threat 22,0.47005299584559446,30322.13218610046,89488.28080823921,Threat,10.860748057521874,0.4222341980032449,56947.719063108634
T23,Threat 23,0.221907229364439,18597.962577932132,91460.67082589901,Threat,10.62723582335138,0.6214564672099717,50028.08834958267
T24,Threat 24,0.24236594628698382,30584.954119368882,133017.33372281533,Threat,11.063249099513989,0.5735123327858345,75185.02071243987
T25,Threat 25,0.1604509809392321,15427.911802322264,61663.10802966621,Threat,10.336687354342033,0.5405586247040688,35695.83048155122
T26,Threat 26,0.30525126167960087,22110.841730844168,79158.35990587446,Threat,10.641514512023875,0.49759306289313354,47349.61369798987
T27,Threat 27,0.22879224258732322,29692.243874863118,108014.7432963839,Threat,10.94433207524197,0.5038353125312092,64296.28203027281
T28,Threat 28,0.44178099500980195,15511.61422315991,60448.149583767,Threat,10.329442785961378,0.5306836472347962,35251.21771261918
T29,Threat 29,0.16843273168203965,29684.79714377018,131361.76860934775,Threat,11.042050350742247,0.5802810106764722,73895.9555253847
T30,Threat 30,0.3314205872435332,17104.350546897043,113212.36246197985,Threat,10.692054387947813,0.7373610904739969,57751.52741739364
T31,Threat 31,0.462136630264644,9864.774801554891,43604.87707515743,Threat,9.939824936388305,0.5798435007952164,24536.919462151764
T32,Threat 32,0.4607645490642682,33364.25242313693,154131.25870330614,Threat,11.180400083339112,0.5970573364696716,85702.63191049821
T33,Threat 33,0.4227874736548717,18636.830730449154,52820.86663199315,Threat,10.353778320789768,0.4064473769147559,34077.00364592159
T34,Threat 34,0.34027942713343595,39350.17426065847,94906.26068948636,Threat,11.020450318087603,0.34348569937218815,64824.67072337273
T35,Threat 35,0.2713389098803797,10442.967374751675,43970.19456054561,Threat,9.972475669680605,0.5608760791662188,25078.511872797462
T36,Threat 36,0.13733068414792832,16124.022885752081,57609.84711430223,Threat,10.324757166256784,0.4968131129321369,34481.17496290616
T37,Threat 37,0.2829647990094448,32004.662554844446,81597.63024731225,Threat,10.841596187725235,0.36515059112704645,54625.914016502305
T38,Threat 38,0.38347895817709843,27788.517800886428,152332.13985289272,Threat,11.083098366063794,0.6638204839525961,81099.10331614228
T39,Threat 39,0.21461464669164076,15024.989519925162,41768.64933772874,Threat,10.128685691580234,0.3989036753811502,27125.994742272855
T40,Threat 40,0.3659489795213178,36362.633610428435,129495.71877470145,Threat,11.136350038559373,0.4955345367559917,77584.8361872641
T41,Threat 41,0.2752857537508899,30348.459140257248,85554.07613894161,Threat,10.838702474990976,0.4043547395226761,55295.889436558915
T42,Threat 42,0.33306843514456186,29214.241223419573,160636.39318981805,Threat,11.134655122487297,0.665009167720338,85457.43708152235
T43,Threat 43,0.40028680013726714,25452.326177563857,66546.52383510051,Threat,10.62510950412346,0.37497288238149273,44152.80932527189
T44,Threat 44,0.4437556302722446,36636.17324236484,94732.07736873222,Threat,10.983799659626202,0.3706509368321259,63100.9256575502
T45,Threat 45,0.13271203483759408,8082.57167461842,31986.23111020455,Threat,9.685263094408644,0.5366914102116315,18569.615139983573
T46,Threat 46,0.32488735149236225,6935.042256381211,38048.00870537167,Threat,9.695473227113112,0.6641408930083887,20252.12063962577
T47,Threat 47,0.28719502962269977,24906.471966162204,128339.12165884573,Threat,10.942657197209739,0.6396732306762234,69372.659825283
T48,Threat 48,0.47277285923067125,20647.663297278043,107180.84239972086,Threat,10.758815118580122,0.6425474450266139,57829.17748877461
T49,Threat 49,0.2515943398795671,21354.90339397002,114765.86214909209,Threat,10.809843005028934,0.6560846774975099,61393.94889331109
T50,Threat 50,0.11287917397516961,28573.369343220278,86409.02849469207,Threat,10.813538933489875,0.43174892621203986,54542.88222788811
T51,Threat 51,0.3170543703154024,6371.936293454266,31956.743056191044,Threat,9.565898580450575,0.629112342441355,17392.4198617851
T52,Threat 52,0.4077589348295849,19440.861598535997,104777.21181351987,Threat,10.717361990320871,0.6571952428760279,56011.63880636236
T53,Threat 53,0.36446714693117244,6039.216380834325,21897.982324678633,Threat,9.350089662253346,0.5025627804059446,13047.793739853221
T54,Threat 54,0.2703470776799677,29277.720889614196,119869.59502584364,Threat,10.989370924663518,0.5499496212528905,68912.52444489983
T55,Threat 55,0.17265153706952985,16611.667162867503,46192.752067533955,Threat,10.229219375855788,0.3990153974291424,29996.20100768727
T56,Threat 56,0.26691642436133767,33217.90402320121,189791.52232446664,Threat,11.28226289257604,0.6799715506195046,100051.82166596413
T57,Threat 57,0.4673589871222532,6731.932597581756,27365.380448386077,Threat,9.515825774617877,0.5471556903776095,15764.493595265974
T58,Threat 58,0.225467580020851,4795.153325313759,15622.864379084527,Threat,9.06592587420646,0.4608202488263233,9624.849523104818
T59,Threat 59,0.1952999622849647,35912.7257872601,86275.78271201631,Threat,10.927075605317356,0.3419516051340044,59014.653440213035
